bacteria
0-100
Protein Id	Score	Localization	Gene Ontology Terms
tr|T2KBN1|T2KBN1_SALTM	11	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KEV8|T2KEV8_SALTM	76	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCN3|T2KCN3_SALTM	13	cytoplasm	cytoplasm GO:0005737(IEA); formate dehydrogenase complex GO:0009326(IEA);
tr|T2KEI4|T2KEI4_SALTM	84	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KBQ2|T2KBQ2_SALTM	96	cytoplasm	bacterial nucleoid GO:0043590(IDA); cytoplasm GO:0005737(IEA);
tr|T2K5D5|T2K5D5_SALTM	15	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K7P6|T2K7P6_SALTM	100	cytoplasm	bacterial-type flagellum GO:0009288(IEA); cytoplasm GO:0005737(IEA);
tr|T2K7J1|T2K7J1_SALTM	25	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K4I1|T2K4I1_SALTM	17	cytoplasm	cytosol GO:0005829(IDA); plasma membrane GO:0005886(IDA);
tr|T2K3E9|T2K3E9_SALTM	15	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K257|T2K257_SALTM	21	fimbrium	pilus GO:0009289(IEA);
tr|T2KDU6|T2KDU6_SALTM	95	cytoplasm	6-phosphofructokinase complex GO:0005945(IDA);
tr|T2K264|T2K264_SALTM	30	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2KE49|T2KE49_SALTM	44	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KA80|T2KA80_SALTM	30	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K2S2|T2K2S2_SALTM	17	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5B1|T2K5B1_SALTM	27	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA); type I protein secretion system complex GO:0030256(IEA);
tr|T2K3P8|T2K3P8_SALTM	88	cytoplasm	cytoplasm GO:0005737(IEA); exodeoxyribonuclease VII complex GO:0009318(IEA);
tr|T2KD69|T2KD69_SALTM	12	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KEQ9|T2KEQ9_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K5N2|T2K5N2_SALTM	49	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2KC45|T2KC45_SALTM	13	periplasm	membrane GO:0016020(IEA); outer membrane-bounded periplasmic space GO:0030288(TAS);
tr|T2K650|T2K650_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBF0|T2KBF0_SALTM	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8M4|T2K8M4_SALTM	18	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K418|T2K418_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3X1|T2K3X1_SALTM	16	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2KF32|T2KF32_SALTM	12	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KEM4|T2KEM4_SALTM	93	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K3S5|T2K3S5_SALTM	24	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2KFG8|T2KFG8_SALTM	77	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K2V4|T2K2V4_SALTM	21	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K2Q6|T2K2Q6_SALTM	93	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KA84|T2KA84_SALTM	94	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K7M0|T2K7M0_SALTM	34	secreted	extracellular region GO:0005576(IEA);
tr|T2K9I7|T2K9I7_SALTM	89	inner membrane	cell division site GO:0032153(IEA); cell septum GO:0030428(IDA); integral to plasma membrane GO:0005887(IEA);
tr|T2KBF8|T2KBF8_SALTM	85	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K7Q1|T2K7Q1_SALTM	12	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5S9|T2K5S9_SALTM	67	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6D4|T2K6D4_SALTM	82	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K3V1|T2K3V1_SALTM	30	cytoplasm	bacterial nucleoid GO:0043590(IEA); cytoplasm GO:0005737(IEA);
tr|T2KED0|T2KED0_SALTM	83	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3Q7|T2K3Q7_SALTM	97	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K2J8|T2K2J8_SALTM	98	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8X8|T2K8X8_SALTM	6	outer membrane	cell outer membrane GO:0009279(IDA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K507|T2K507_SALTM	48	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K2Y5|T2K2Y5_SALTM	5	cytoplasm	cytoplasm GO:0005737(IEA); integral to membrane GO:0016021(IEA);
tr|T2KEE3|T2KEE3_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8F3|T2K8F3_SALTM	18	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KEF5|T2KEF5_SALTM	19	inner membrane	dimethyl sulfoxide reductase complex GO:0009390(IDA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K9B8|T2K9B8_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KF93|T2KF93_SALTM	21	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6X0|T2K6X0_SALTM	93	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K9S4|T2K9S4_SALTM	20	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K872|T2K872_SALTM	79	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K9M6|T2K9M6_SALTM	84	cytoplasm	cytoplasm GO:0005737(IEA); exodeoxyribonuclease VII complex GO:0009318(IEA);
tr|T2KER7|T2KER7_SALTM	92	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K283|T2K283_SALTM	94	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K4T4|T2K4T4_SALTM	85	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K864|T2K864_SALTM	92	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KD42|T2KD42_SALTM	100	outer membrane	cell outer membrane GO:0009279(IEA); plasma membrane GO:0005886(IEA); pore complex GO:0046930(IEA);
tr|T2KA26|T2KA26_SALTM	21	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KA71|T2KA71_SALTM	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8C0|T2K8C0_SALTM	29	cytoplasm	cytosol GO:0005829(IDA); membrane GO:0016020(IDA);
tr|T2KF08|T2KF08_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDN6|T2KDN6_SALTM	22	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KA00|T2KA00_SALTM	21	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K644|T2K644_SALTM	99	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4M0|T2K4M0_SALTM	90	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K6Z6|T2K6Z6_SALTM	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8D4|T2K8D4_SALTM	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7K0|T2K7K0_SALTM	23	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDJ5|T2KDJ5_SALTM	16	periplasm	membrane GO:0016020(IEA); outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2K5I6|T2K5I6_SALTM	17	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K4X4|T2K4X4_SALTM	93	cytoplasm	cytosol GO:0005829(IBA);
tr|T2KCS0|T2KCS0_SALTM	96	cytoplasm	cytosol GO:0005829(IDA); membrane GO:0016020(IDA);
tr|T2KCN1|T2KCN1_SALTM	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K426|T2K426_SALTM	28	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8T1|T2K8T1_SALTM	84	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6W6|T2K6W6_SALTM	59	periplasm	outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|T2KE40|T2KE40_SALTM	92	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K7T6|T2K7T6_SALTM	90	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA); periplasmic space GO:0042597(IDA);
tr|T2K741|T2K741_SALTM	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7Y9|T2K7Y9_SALTM	94	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDT3|T2KDT3_SALTM	78	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K319|T2K319_SALTM	98	cytoplasm	cytosol GO:0005829(IDA);
tr|T2KCZ1|T2KCZ1_SALTM	21	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4H4|T2K4H4_SALTM	29	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCB4|T2KCB4_SALTM	92	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2KEK2|T2KEK2_SALTM	94	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9L1|T2K9L1_SALTM	22	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5N6|T2K5N6_SALTM	38	periplasm	periplasmic space GO:0042597(IDA);
tr|T2K6U2|T2K6U2_SALTM	69	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCA6|T2KCA6_SALTM	86	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2K3G6|T2K3G6_SALTM	26	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KFI6|T2KFI6_SALTM	94	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDG7|T2KDG7_SALTM	12	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K4H2|T2K4H2_SALTM	9	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KAJ5|T2KAJ5_SALTM	100	secreted	host cell plasma membrane GO:0020002(IEA); integral to membrane GO:0016021(IEA);
tr|T2K3V5|T2K3V5_SALTM	69	cytoplasm	cytoplasm GO:0005737(NAS);
tr|T2K7P0|T2K7P0_SALTM	10	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KBW6|T2KBW6_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K9L8|T2K9L8_SALTM	38	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K6L4|T2K6L4_SALTM	96	cytoplasm	cytoplasm GO:0005737(IEA); Holliday junction resolvase complex GO:0048476(IDA);
tr|T2K5K5|T2K5K5_SALTM	8	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|T2K446|T2K446_SALTM	79	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2K6N0|T2K6N0_SALTM	95	inner membrane	integral to membrane GO:0016021(IEA); nitrate reductase complex GO:0009325(IEA); plasma membrane GO:0005886(IEA);
tr|T2K8J9|T2K8J9_SALTM	92	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K3S4|T2K3S4_SALTM	90	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K9K3|T2K9K3_SALTM	92	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K2L6|T2K2L6_SALTM	88	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K2X9|T2K2X9_SALTM	71	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K2Z7|T2K2Z7_SALTM	78	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K2M8|T2K2M8_SALTM	89	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K335|T2K335_SALTM	24	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K2C5|T2K2C5_SALTM	79	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9Y3|T2K9Y3_SALTM	89	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KB17|T2KB17_SALTM	87	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KC68|T2KC68_SALTM	85	inner membrane	integral to plasma membrane GO:0005887(IEA);
tr|T2KDP7|T2KDP7_SALTM	93	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8M1|T2K8M1_SALTM	100	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KC43|T2KC43_SALTM	92	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2KAC8|T2KAC8_SALTM	94	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KEI5|T2KEI5_SALTM	9	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KC25|T2KC25_SALTM	87	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K3S1|T2K3S1_SALTM	18	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KBY6|T2KBY6_SALTM	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K784|T2K784_SALTM	93	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|T2K7N5|T2K7N5_SALTM	19	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K615|T2K615_SALTM	85	cytoplasm	cytoplasm GO:0005737(IEA); membrane GO:0016020(IEA);
tr|T2K967|T2K967_SALTM	26	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K2K7|T2K2K7_SALTM	99	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K5B4|T2K5B4_SALTM	74	inner membrane	chloride channel complex GO:0034707(IEA); plasma membrane GO:0005886(IEA);
tr|T2K787|T2K787_SALTM	100	secreted	cell surface GO:0009986(IDA); extracellular region GO:0005576(IEA);
tr|T2K5Y3|T2K5Y3_SALTM	10	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K553|T2K553_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7S4|T2K7S4_SALTM	14	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K522|T2K522_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8Z5|T2K8Z5_SALTM	92	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCS6|T2KCS6_SALTM	87	inner membrane	integral to membrane GO:0016021(IDA); integral to plasma membrane GO:0005887(IEA); TAT protein transport complex GO:0033281(IDA);
tr|T2KBS7|T2KBS7_SALTM	91	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBB5|T2KBB5_SALTM	22	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8L8|T2K8L8_SALTM	89	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4I0|T2K4I0_SALTM	90	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KBV0|T2KBV0_SALTM	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8J3|T2K8J3_SALTM	27	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4E8|T2K4E8_SALTM	26	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K611|T2K611_SALTM	16	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K944|T2K944_SALTM	88	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K636|T2K636_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4I5|T2K4I5_SALTM	83	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2K6R5|T2K6R5_SALTM	14	cytoplasm	cytosol GO:0005829(IDA);
tr|T2KEH2|T2KEH2_SALTM	99	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K6J9|T2K6J9_SALTM	52	inner membrane	dimethyl sulfoxide reductase complex GO:0009390(IDA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4Z7|T2K4Z7_SALTM	64	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCG8|T2KCG8_SALTM	90	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2K534|T2K534_SALTM	14	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K212|T2K212_SALTM	96	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2K779|T2K779_SALTM	84	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K9Z6|T2K9Z6_SALTM	11	secreted	extracellular region GO:0005576(IEA);
tr|T2K5E6|T2K5E6_SALTM	23	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4P5|T2K4P5_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCJ9|T2KCJ9_SALTM	18	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K6T4|T2K6T4_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K353|T2K353_SALTM	8	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9C8|T2K9C8_SALTM	100	secreted	extracellular region GO:0005576(IEA);
tr|T2K7E7|T2K7E7_SALTM	19	outer membrane	cell outer membrane GO:0009279(IEA); plasma membrane GO:0005886(IEA); pore complex GO:0046930(IEA);
tr|T2K9B1|T2K9B1_SALTM	10	inner membrane	chloride channel complex GO:0034707(IEA); plasma membrane GO:0005886(IEA);
tr|T2K3D3|T2K3D3_SALTM	78	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5G4|T2K5G4_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KEV2|T2KEV2_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBT6|T2KBT6_SALTM	8	cytoplasm	cytoplasm GO:0005737(IEA); integral to membrane GO:0016021(IEA);
tr|T2K4F1|T2K4F1_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KE27|T2KE27_SALTM	16	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KFX0|T2KFX0_SALTM	30	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K395|T2K395_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K997|T2K997_SALTM	24	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K484|T2K484_SALTM	100	secreted	host cell cytoplasm GO:0030430(IEA);
tr|T2KCX0|T2KCX0_SALTM	10	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KBI3|T2KBI3_SALTM	82	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K358|T2K358_SALTM	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBB4|T2KBB4_SALTM	88	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K9P9|T2K9P9_SALTM	16	inner membrane	integral to membrane GO:0016021(IDA); integral to plasma membrane GO:0005887(IEA);
tr|T2KBF4|T2KBF4_SALTM	19	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K7M7|T2K7M7_SALTM	43	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDI5|T2KDI5_SALTM	75	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KC47|T2KC47_SALTM	94	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KBU8|T2KBU8_SALTM	96	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KES5|T2KES5_SALTM	75	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9X2|T2K9X2_SALTM	9	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K3G2|T2K3G2_SALTM	6	outer membrane	cell outer membrane GO:0009279(IDA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KEK7|T2KEK7_SALTM	88	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4W4|T2K4W4_SALTM	75	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2K2T6|T2K2T6_SALTM	20	periplasm	ATP-binding cassette (ABC) transporter complex GO:0043190(ISS); outer membrane-bounded periplasmic space GO:0030288(EXP);
tr|T2KAE5|T2KAE5_SALTM	96	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K634|T2K634_SALTM	23	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KE81|T2KE81_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KB30|T2KB30_SALTM	96	cytoplasm	cytosol GO:0005829(IDA); membrane GO:0016020(IDA);
tr|T2KDY3|T2KDY3_SALTM	50	cytoplasm	cytosol GO:0005829(IEA);
tr|T2K7V0|T2K7V0_SALTM	28	cytoplasm	cytoplasm GO:0005737(IEA); membrane GO:0016020(IDA);
tr|T2K3R4|T2K3R4_SALTM	95	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2KE31|T2KE31_SALTM	45	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCI0|T2KCI0_SALTM	97	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K5F0|T2K5F0_SALTM	9	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K234|T2K234_SALTM	89	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2K2T7|T2K2T7_SALTM	86	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBT4|T2KBT4_SALTM	19	secreted	extracellular region GO:0005576(IEA);
tr|T2K811|T2K811_SALTM	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KC74|T2KC74_SALTM	84	inner membrane	integral to membrane GO:0016021(IEA); outer membrane-bounded periplasmic space GO:0030288(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDS6|T2KDS6_SALTM	9	secreted	extracellular region GO:0005576(IEA);
tr|T2K4Y2|T2K4Y2_SALTM	12	fimbrium	pilus GO:0009289(IEA);
tr|T2K9N6|T2K9N6_SALTM	77	periplasm	outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|T2K1Z4|T2K1Z4_SALTM	25	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K6Q8|T2K6Q8_SALTM	96	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4V1|T2K4V1_SALTM	6	cytoplasm	cytosol GO:0005829(IDA); plasma membrane GO:0005886(IDA);
tr|T2KCI5|T2KCI5_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K2Z1|T2K2Z1_SALTM	80	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KC77|T2KC77_SALTM	82	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8D3|T2K8D3_SALTM	40	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCR5|T2KCR5_SALTM	1	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KF24|T2KF24_SALTM	89	periplasm	periplasmic space GO:0042597(IDA);
tr|T2K5C1|T2K5C1_SALTM	51	periplasm	outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|T2KCV1|T2KCV1_SALTM	21	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K951|T2K951_SALTM	24	inner membrane	cell pole GO:0060187(IDA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6D1|T2K6D1_SALTM	79	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KE67|T2KE67_SALTM	96	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7U8|T2K7U8_SALTM	16	secreted	cell wall GO:0005618(IEA); extracellular region GO:0005576(IEA); S-layer GO:0030115(IEA);
tr|T2K279|T2K279_SALTM	97	cytoplasm	acetate CoA-transferase complex GO:0009329(IDA);
tr|T2KD34|T2KD34_SALTM	96	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCH5|T2KCH5_SALTM	27	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K529|T2K529_SALTM	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCX2|T2KCX2_SALTM	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K239|T2K239_SALTM	18	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2KAA7|T2KAA7_SALTM	100	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2K759|T2K759_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KAN5|T2KAN5_SALTM	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCI2|T2KCI2_SALTM	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDI9|T2KDI9_SALTM	96	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KEJ4|T2KEJ4_SALTM	86	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCJ1|T2KCJ1_SALTM	100	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KEP9|T2KEP9_SALTM	6	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4S3|T2K4S3_SALTM	95	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K9S2|T2K9S2_SALTM	17	cytoplasm	cytoplasm GO:0005737(IEA);
